Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-08,,
Horizontal Delay,1.212e-07,,
Sample Interval,4e-10,,
Record Length,1000,,
Gating,0.1% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.5,0.2,0.2
Vertical Position,3.18,1.02,-2.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
4.080e-08,-0.830078,-0.0200313,0.0199688
4.120e-08,-0.810078,-0.00403125,0.00396875
4.160e-08,-0.81,-0.004,-0.004
4.200e-08,-0.83,-0.004,-0.004
4.240e-08,-0.83,-0.012,0.02
4.280e-08,-0.810078,-0.00403125,0.0279688
4.320e-08,-0.79,0.012,0.012
4.360e-08,-0.81,0.012,-0.004
4.400e-08,-0.790078,-0.0120313,0.00396875
4.440e-08,-0.81,-0.012,0.004
4.480e-08,-0.810078,-0.0120313,0.00396875
4.520e-08,-0.81,-0.004,0.004
4.560e-08,-0.81,-0.004,0.012
4.600e-08,-0.810078,-0.0120313,0.0279688
4.640e-08,-0.810078,-0.0120313,0.0119688
4.680e-08,-0.810078,-0.0120313,0.0119688
4.720e-08,-0.810078,-0.0120313,0.0119688
4.760e-08,-0.810078,-0.0120313,0.0279688
4.800e-08,-0.830078,0.00396875,0.0359688
4.840e-08,-0.81,0.02,0.012
4.880e-08,-0.81,0.02,-0.012
4.920e-08,-0.790078,0.0119688,-0.00403125
4.960e-08,-0.79,-0.012,0.028
5.000e-08,-0.810078,-0.0120313,0.0279688
5.040e-08,-0.810078,0.0119688,0.0279688
5.080e-08,-0.810078,0.0119688,0.0119688
5.120e-08,-0.79,-0.004,0.012
5.160e-08,-0.810078,-0.0120313,0.0199688
5.200e-08,-0.81,-0.004,0.02
5.240e-08,-0.810078,0.0119688,0.0199688
5.280e-08,-0.790078,0.0199687,0.00396875
5.320e-08,-0.81,0.004,0.004
5.360e-08,-0.81,-0.004,0.004
5.400e-08,-0.83,0.004,0.004
5.440e-08,-0.83,-0.004,0.004
5.480e-08,-0.81,-0.012,0.012
5.520e-08,-0.810078,-0.00403125,0.0119688
5.560e-08,-0.83,0.012,0.004
5.600e-08,-0.810078,0.0119688,-0.00403125
5.640e-08,-0.81,0.004,0.012
5.680e-08,-0.81,-0.004,0.012
5.720e-08,-0.810078,-0.00403125,0.00396875
5.760e-08,-0.830078,0.00396875,-0.00403125
5.800e-08,-0.810078,0.00396875,-0.00403125
5.840e-08,-0.830078,-0.0120313,0.00396875
5.880e-08,-0.810078,-0.0200313,0.0199688
5.920e-08,-0.81,-0.004,0.02
5.960e-08,-0.810078,0.00396875,0.0119688
6.000e-08,-0.830078,0.00396875,0.0119688
6.040e-08,-0.81,-0.012,0.004
6.080e-08,-0.81,-0.012,0.012
6.120e-08,-0.81,0.004,0.004
6.160e-08,-0.810078,0.0119688,0.00396875
6.200e-08,-0.81,0.004,0.004
6.240e-08,-0.81,-0.012,0.012
6.280e-08,-0.81,-0.004,0.004
6.320e-08,-0.810078,0.00396875,0.00396875
6.360e-08,-0.810078,-0.00403125,-0.00403125
